Firefox	Web	flatpak	org.mozilla.firefox	Fast and private web browser
Blender	Creative	flatpak	org.blender.Blender	3D creation suite
GIMP	Creative	flatpak	org.gimp.GIMP	Image editor
Krita	Creative	flatpak	org.kde.krita	Digital painting app
Musescore	Creative	flatpak	org.musescore.MuseScore	Sheet music editor
VLC	Media	flatpak	org.videolan.VLC	Media player
OBS Studio	Creator	flatpak	com.obsproject.Studio	Streaming and recording
Discord	Social	flatpak	com.discordapp.Discord	Voice and chat client
Thunderbird	Productivity	flatpak	org.mozilla.Thunderbird	Mail client
Kate	Development	flatpak	org.kde.kate	Text editor
